[ 245.5  616. ]
[ 603.84684685  569.63963964]
[ 296.60233918  472.32748538]
[  77.08333333  484.47222222]
[ 181.17316017  364.40692641]
[ 627.97385621  284.53594771]
[ 376.88505747   36.14942529]
[ 312.91812865   74.22222222]
[ 237.60869565  561.7173913 ]
[ 245.15602837  114.0141844 ]
[ 351.          680.64285714]
[ 368.03174603  652.5       ]
[ 541.21468927  407.2259887 ]
[ 174.5         373.66145833]
[ 436.35        226.28333333]
[ 415.88690476  577.23214286]
[ 594.19565217  565.54347826]
[ 306.97660819  470.13450292]
[  81.93939394  490.02164502]
[ 166.37984496  354.1627907 ]
[ 639.73544974  285.46560847]
[ 378.61728395   37.01234568]
[ 296.40437158   82.1420765 ]
[ 252.28248588  571.75141243]
[ 227.45238095  112.26984127]
[ 357.50617284  682.09876543]
[ 374.91472868  640.03100775]
[ 526.09375  403.5    ]
[ 176.6         369.16666667]
[ 436.43386243  226.18518519]
[ 422.33939394  567.72121212]
[ 575.35658915  563.37984496]
[ 316.66060606  463.22424242]
[  81.78787879  508.95238095]
[ 156.16862745  340.7372549 ]
[ 651.63888889  287.97222222]
[ 379.5          37.31818182]
[ 276.85875706   83.5480226 ]
[ 266.03448276  582.18965517]
[ 217.62100457  105.48401826]
[ 371.38666667  683.17333333]
[ 388.95   634.875]
[ 519.  392.]
[ 187.42857143  360.        ]
[ 436.          226.47916667]
[ 435.33333333  562.72222222]
[ 558.62962963  566.45185185]
[ 327.85310734  464.81920904]
[  78.52941176  522.31372549]
[ 149.47619048  334.88492063]
[ 660.65        284.46666667]
[ 424.125        54.91666667]
[ 257.45751634   79.71895425]
[ 275.66666667  595.26060606]
[ 216.21428571  104.39880952]
[ 382.66666667  696.83333333]
[ 406.14814815  637.01851852]
[ 515.22885572  377.15422886]
[ 198.58666667  354.68666667]
[ 435.01212121  226.97575758]
[ 449.71428571  557.85714286]
[ 542.57333333  572.57333333]
[ 341.17857143  470.47619048]
[  89.28638498  525.1314554 ]
[ 157.08108108  330.71621622]
[ 674.64  283.46]
[ 422.78         52.99333333]
[ 256.18579235   69.96174863]
[ 285.91935484  608.93548387]
[ 207.  115.]
[ 382.   704.5]
[ 420.53703704  645.37037037]
[ 503.5483871   371.59677419]
[ 209.82738095  359.88690476]
[ 432.96969697  227.35151515]
[ 465.64539007  553.36879433]
[ 527.15602837  574.73758865]
[ 353.4137931  476.5      ]
[ 102.03603604  538.02702703]
[ 171.8159204   321.87562189]
[ 682.37179487  283.74358974]
[ 422.74         53.03333333]
[ 254.91079812   71.82159624]
[ 295.01092896  621.30054645]
[ 186.15447154  116.37398374]
[ 383.8  697.8]
[ 433.60714286  656.60714286]
[ 492.05641026  360.65128205]
[ 219.88690476  371.07142857]
[ 431.77948718  224.08205128]
[ 480.5        552.4702381]
[ 514.36666667  574.93333333]
[ 364.28717949  483.75897436]
[ 106.62820513  554.71794872]
[ 190.5         315.52150538]
[ 689.25301205  291.53413655]
[ 422.71153846   52.97435897]
[ 248.71957672   83.13227513]
[ 298.83615819  629.31638418]
[ 168.57407407  112.88888889]
[ 389.64444444  694.51111111]
[ 444.35220126  667.17610063]
[ 481.26960784  349.79411765]
[ 225.5620915   383.97385621]
[ 429.93333333  225.2969697 ]
[ 489.90322581  550.20967742]
[ 513.93181818  574.89393939]
[ 372.56613757  493.60846561]
[ 113.73529412  564.94117647]
[ 208.27586207  312.0862069 ]
[ 685.06666667  294.36969697]
[ 424.86363636   52.90909091]
[ 239.55714286   98.41428571]
[ 294.93989071  639.24043716]
[ 165.85777778  125.53777778]
[ 410.21428571  687.76190476]
[ 452.81699346  676.37908497]
[ 472.03225806  334.44623656]
[ 224.72222222  398.59259259]
[ 418.61581921  228.67231638]
[ 501.56666667  543.4       ]
[ 513.92592593  575.05925926]
[ 380.          503.76666667]
[ 122.60444444  577.92444444]
[ 224.23899371  308.38993711]
[ 674.28930818  298.04402516]
[ 422.5          60.95679012]
[ 228.61428571  106.89047619]
[ 284.5625      647.02083333]
[ 150.27350427  138.47435897]
[ 426.          690.38888889]
[ 457.66666667  687.93710692]
[ 468.66203704  317.25      ]
[ 213.64864865  402.63963964]
[ 397.28571429  227.81547619]
[ 513.36666667  536.29444444]
[ 514.04545455  575.09848485]
[ 383.20689655  514.25862069]
[ 125.36190476  589.1       ]
[ 234.24858757  302.18079096]
[ 662.27210884  303.39455782]
[ 411.4964539    72.95035461]
[ 228.08333333  107.83333333]
[ 274.43715847  649.6284153 ]
[ 133.     148.875]
[ 433.   692.5]
[ 465.94230769  694.65384615]
[ 470.22727273  302.66666667]
[ 200.88888889  404.        ]
[ 377.93034826  217.51243781]
[ 526.31073446  527.12429379]
[ 513.54166667  574.77777778]
[ 386.63387978  525.44808743]
[ 132.98571429  599.37142857]
[ 246.88461538  300.46153846]
[ 650.67251462  308.11111111]
[ 392.64   83.98]
[ 227.6712963   111.79166667]
[ 262.18079096  641.09039548]
[ 116.34972678  155.20765027]
[ 448.5  691. ]
[ 461.56666667  696.13333333]
[ 480.20967742  295.        ]
[ 188.05405405  404.39189189]
[ 358.81034483  205.24137931]
[ 540.21393035  519.68159204]
[ 513.57692308  573.07692308]
[ 384.375    536.53125]
[ 137.49758454  611.0821256 ]
[ 261.00653595  306.55555556]
[ 642.20606061  317.56969697]
[ 371.60869565   85.45652174]
[ 218.10628019  123.3236715 ]
[ 249.5136612   634.18579235]
[ 113.77777778  163.01709402]
[ 459.5  685.5]
[ 456.49206349  694.46031746]
[ 494.7         292.19444444]
[ 179.00444444  406.92888889]
[ 345.28494624  188.60215054]
[ 556.24019608  515.64705882]
[ 511.69154229  570.89054726]
[ 378.30601093  547.43715847]
[ 144.70531401  615.85990338]
[ 267.51572327  322.08805031]
[ 627.85714286  324.19047619]
[ 351.1     89.025]
[ 201.99176955  139.18930041]
[ 238.97354497  625.24867725]
[ 115.37130802  177.91983122]
[ 471.31746032  679.20634921]
[ 456.36231884  694.55072464]
[ 513.65641026  293.16410256]
[ 166.99004975  408.39800995]
[ 331.28125     180.41666667]
[ 569.74358974  509.17948718]
[ 483.73076923  551.16025641]
[ 368.3         552.63333333]
[ 156.87878788  622.4040404 ]
[ 274.53216374  342.49707602]
[ 613.22413793  326.40804598]
[ 330.575   90.75 ]
[ 180.89047619  144.08571429]
[ 230.00925926  615.09722222]
[ 105.72769953  190.12206573]
[ 486.82716049  684.32098765]
[ 448.38636364  688.36363636]
[ 531.3081761  294.5408805]
[ 157.41666667  399.13888889]
[ 317.68181818  170.27272727]
[ 574.98122066  500.68075117]
[ 483.38888889  548.77777778]
[ 358.88709677  557.58602151]
[ 163.67724868  635.1005291 ]
[ 272.84408602  360.29032258]
[ 597.74074074  327.57407407]
[ 317.07407407   82.68518519]
[ 169.42792793  134.59459459]
[ 222.17676768  602.00505051]
[  93.42424242  194.03030303]
[ 498.125   691.9375]
[ 438.32624113  677.24822695]
[ 548.1827957   303.02688172]
[ 150.81278539  387.66210046]
[ 311.44131455  157.37089202]
[ 577.33333333  489.87064677]
[ 472.65517241  541.63793103]
[ 347.18181818  559.32323232]
[ 172.625  641.425]
[ 259.94527363  375.77114428]
[ 582.  325.]
[ 302.02962963   86.58518519]
[ 160.58649789  138.85232068]
[ 219.67661692  590.1840796 ]
[  84.39473684  201.65789474]
[ 514.83333333  695.08333333]
[ 430.89542484  665.9869281 ]
[ 560.79310345  311.94827586]
[ 145.28378378  374.97297297]
[ 306.86147186  144.08225108]
[ 582.92424242  476.22727273]
[ 454.4180791   533.04519774]
[ 333.61375661  559.73544974]
[ 184.49726776  646.92349727]
[ 247.18222222  390.91111111]
[ 571.1420765  321.4863388]
[ 286.0952381    88.47619048]
[ 157.59111111  141.58222222]
[ 219.4591195  574.3081761]
[  71.55882353  210.97058824]
[ 530.          689.59090909]
[ 423.53846154  653.26923077]
[ 570.87134503  309.67836257]
[ 142.44600939  364.62910798]
[ 304.7965368   140.33333333]
[ 592.52444444  463.80888889]
[ 443.3125  522.8125]
[ 322.89617486  564.17486339]
[ 193.59375  658.6875 ]
[ 235.76388889  400.44444444]
[ 561.30065359  325.67973856]
[ 274.10344828   97.93103448]
[ 147.20512821  158.63461538]
[ 225.77987421  560.87421384]
[  65.41891892  221.78378378]
[ 537.82716049  684.75308642]
[ 421.24113475  639.86524823]
[ 589.11695906  311.99415205]
[ 137.14414414  354.94594595]
[ 304.63020833  140.375     ]
[ 600.46052632  453.53070175]
[ 439.89071038  502.51912568]
[ 310.77777778  566.62573099]
[ 200.77604167  671.609375  ]
[ 222.91324201  403.03652968]
[ 548.33333333  323.53551913]
[ 254.53900709  103.12056738]
[ 147.27333333  158.62      ]
[ 230.89308176  547.4591195 ]
[  55.7037037   232.03703704]
[ 525.62601626  674.32520325]
[ 422.54421769  626.66666667]
[ 602.64102564  321.53846154]
[ 134.17840376  340.97652582]
[ 305.36111111  143.28472222]
[ 603.   444.5]
[ 433.62903226  479.96774194]
[ 296.66161616  565.68181818]
[ 203.14619883  675.28654971]
[ 215.59555556  412.20444444]
[ 536.84722222  313.2962963 ]
[ 237.29310345   98.76436782]
[ 145.30555556  165.73809524]
[ 240.26060606  535.43030303]
[  56.56666667  241.11111111]
[ 522.35714286  656.61904762]
[ 430.11515152  616.64848485]
[ 603.47342995  321.47342995]
[ 133.21078431  327.5       ]
[ 311.92090395  149.05649718]
[ 604.38235294  436.55882353]
[ 427.70707071  457.51515152]
[ 283.18181818  561.01515152]
[ 204.58333333  669.83333333]
[ 201.81094527  422.31840796]
[ 534.          299.83333333]
[ 225.62068966   88.12068966]
[ 134.54285714  176.27142857]
[ 249.59119497  524.82389937]
[  56.47297297  254.43243243]
[ 527.925  639.   ]
[ 432.39285714  615.57142857]
[ 602.25757576  321.87878788]
[ 131.82513661  314.10382514]
[ 317.19230769  152.68589744]
[ 608.55411255  434.57575758]
[ 419.82587065  435.53233831]
[ 269.86243386  556.16931217]
[ 204.44444444  665.94444444]
[ 185.77625571  428.84018265]
[ 533.81481481  284.02645503]
[ 207.73076923   92.3974359 ]
[ 119.77659574  189.        ]
[ 263.13793103  515.48850575]
[  51.65400844  263.4978903 ]
[ 544.26666667  631.54666667]
[ 435.01923077  615.69230769]
[ 590.06010929  330.1420765 ]
[ 129.72043011  302.12365591]
[ 317.02424242  152.55151515]
[ 604.265625  436.015625]
[ 410.86243386  414.32804233]
[ 259.39800995  552.67661692]
[ 203.16091954  665.5       ]
[ 168.72222222  430.25      ]
[ 538.04519774  271.15819209]
[ 196.01058201  105.23280423]
[ 102.86046512  203.12403101]
[ 276.58865248  508.60992908]
[  61.48095238  269.84285714]
[ 559.68686869  626.65656566]
[ 441.44848485  616.96969697]
[ 575.51515152  344.92424242]
[ 130.41176471  287.46568627]
[ 317.03703704  152.4382716 ]
[ 589.27419355  430.09677419]
[ 400.65625  394.25   ]
[ 254.32758621  542.60344828]
[ 203.31182796  665.62365591]
[ 152.79812207  431.17840376]
[ 545.14444444  258.96666667]
[ 182.14427861  119.57711443]
[  88.5875      221.18333333]
[ 289.89115646  505.60544218]
[  68.91983122  280.8185654 ]
[ 570.25438596  616.25438596]
[ 446.5480226   618.88700565]
[ 558.72043011  359.18817204]
[ 134.5483871   274.37096774]
[ 316.5  152.5]
[ 574.92424242  417.48484848]
[ 391.8030303   375.18181818]
[ 253.79432624  532.5177305 ]
[ 206.5         663.82758621]
[ 142.20930233  436.93023256]
[ 556.04848485  255.53333333]
[ 164.296875    133.19791667]
[  73.08943089  234.        ]
[ 293.87096774  498.44086022]
[  69.55128205  293.24358974]
[ 587.88505747  609.32183908]
[ 448.95833333  620.55952381]
[ 542.10582011  368.83068783]
[ 145.68518519  265.91358025]
[ 308.35416667  164.109375  ]
[ 565.09950249  401.02487562]
[ 383.05472637  355.23383085]
[ 260.09615385  523.11538462]
[ 213.68518519  652.33333333]
[ 133.1350211   432.56118143]
[ 568.85185185  251.87037037]
[ 143.25157233  137.40251572]
[  62.18930041  250.07407407]
[ 303.96551724  484.67241379]
[  64.13852814  301.73160173]
[ 600.94444444  608.38888889]
