0 [ 245.5  616. ]
7 [ 341.17857143  470.47619048]
8 [  89.28638498  525.1314554 ]
9 [ 157.08108108  330.71621622]
10 [ 674.64  283.46]
11 [ 422.78         52.99333333]
12 [ 256.18579235   69.96174863]
13 [ 285.91935484  608.93548387]
14 [ 207.  115.]
0 [ 382.   704.5]
1 [ 420.53703704  645.37037037]
2 [ 503.5483871   371.59677419]
3 [ 209.82738095  359.88690476]
4 [ 432.96969697  227.35151515]
5 [ 465.64539007  553.36879433]
6 [ 527.15602837  574.73758865]
7 [ 353.4137931  476.5      ]
8 [ 102.03603604  538.02702703]
9 [ 171.8159204   321.87562189]
10 [ 682.37179487  283.74358974]
11 [ 422.74         53.03333333]
12 [ 254.91079812   71.82159624]
13 [ 295.01092896  621.30054645]
14 [ 186.15447154  116.37398374]
0 [ 383.8  697.8]
1 [ 433.60714286  656.60714286]
2 [ 492.05641026  360.65128205]
3 [ 219.88690476  371.07142857]
4 [ 431.77948718  224.08205128]
5 [ 480.5        552.4702381]
6 [ 514.36666667  574.93333333]
7 [ 364.28717949  483.75897436]
8 [ 106.62820513  554.71794872]
9 [ 190.5         315.52150538]
10 [ 689.25301205  291.53413655]
11 [ 422.71153846   52.97435897]
12 [ 248.71957672   83.13227513]
13 [ 298.83615819  629.31638418]
14 [ 168.57407407  112.88888889]
0 [ 389.64444444  694.51111111]
1 [ 444.35220126  667.17610063]
2 [ 481.26960784  349.79411765]
3 [ 225.5620915   383.97385621]
4 [ 429.93333333  225.2969697 ]
5 [ 489.90322581  550.20967742]
6 [ 513.93181818  574.89393939]
7 [ 372.56613757  493.60846561]
8 [ 113.73529412  564.94117647]
9 [ 208.27586207  312.0862069 ]
10 [ 685.06666667  294.36969697]
11 [ 424.86363636   52.90909091]
12 [ 239.55714286   98.41428571]
13 [ 294.93989071  639.24043716]
14 [ 165.85777778  125.53777778]
0 [ 410.21428571  687.76190476]
1 [ 452.81699346  676.37908497]
2 [ 472.03225806  334.44623656]
3 [ 224.72222222  398.59259259]
4 [ 418.61581921  228.67231638]
5 [ 501.56666667  543.4       ]
6 [ 513.92592593  575.05925926]
7 [ 380.          503.76666667]
8 [ 122.60444444  577.92444444]
9 [ 224.23899371  308.38993711]
10 [ 674.28930818  298.04402516]
11 [ 422.5          60.95679012]
12 [ 228.61428571  106.89047619]
13 [ 284.5625      647.02083333]
14 [ 150.27350427  138.47435897]
0 [ 426.          690.38888889]
1 [ 457.66666667  687.93710692]
2 [ 468.66203704  317.25      ]
3 [ 213.64864865  402.63963964]
4 [ 397.28571429  227.81547619]
5 [ 513.36666667  536.29444444]
6 [ 514.04545455  575.09848485]
7 [ 383.20689655  514.25862069]
8 [ 125.36190476  589.1       ]
9 [ 234.24858757  302.18079096]
10 [ 662.27210884  303.39455782]
11 [ 411.4964539    72.95035461]
12 [ 228.08333333  107.83333333]
13 [ 274.43715847  649.6284153 ]
14 [ 133.     148.875]
0 [ 433.   692.5]
1 [ 465.94230769  694.65384615]
2 [ 470.22727273  302.66666667]
3 [ 200.88888889  404.        ]
4 [ 377.93034826  217.51243781]
5 [ 526.31073446  527.12429379]
6 [ 513.54166667  574.77777778]
7 [ 386.63387978  525.44808743]
8 [ 132.98571429  599.37142857]
9 [ 246.88461538  300.46153846]
10 [ 650.67251462  308.11111111]
11 [ 392.64   83.98]
12 [ 227.6712963   111.79166667]
13 [ 262.18079096  641.09039548]
14 [ 116.34972678  155.20765027]
0 [ 448.5  691. ]
1 [ 461.56666667  696.13333333]
2 [ 480.20967742  295.        ]
3 [ 188.05405405  404.39189189]
4 [ 358.81034483  205.24137931]
5 [ 540.21393035  519.68159204]
6 [ 513.57692308  573.07692308]
7 [ 384.375    536.53125]
8 [ 137.49758454  611.0821256 ]
9 [ 261.00653595  306.55555556]
10 [ 642.20606061  317.56969697]
11 [ 371.60869565   85.45652174]
12 [ 218.10628019  123.3236715 ]
13 [ 249.5136612   634.18579235]
14 [ 113.77777778  163.01709402]
0 [ 459.5  685.5]
1 [ 456.49206349  694.46031746]
2 [ 494.7         292.19444444]
3 [ 179.00444444  406.92888889]
4 [ 345.28494624  188.60215054]
5 [ 556.24019608  515.64705882]
6 [ 511.69154229  570.89054726]
7 [ 378.30601093  547.43715847]
8 [ 144.70531401  615.85990338]
9 [ 267.51572327  322.08805031]
10 [ 627.85714286  324.19047619]
11 [ 351.1     89.025]
12 [ 201.99176955  139.18930041]
13 [ 238.97354497  625.24867725]
14 [ 115.37130802  177.91983122]
0 [ 471.31746032  679.20634921]
1 [ 456.36231884  694.55072464]
2 [ 513.65641026  293.16410256]
3 [ 166.99004975  408.39800995]
4 [ 331.28125     180.41666667]
5 [ 569.74358974  509.17948718]
6 [ 483.73076923  551.16025641]
7 [ 368.3         552.63333333]
8 [ 156.87878788  622.4040404 ]
9 [ 274.53216374  342.49707602]
10 [ 613.22413793  326.40804598]
11 [ 330.575   90.75 ]
12 [ 180.89047619  144.08571429]
13 [ 230.00925926  615.09722222]
14 [ 105.72769953  190.12206573]
0 [ 486.82716049  684.32098765]
1 [ 448.38636364  688.36363636]
2 [ 531.3081761  294.5408805]
3 [ 157.41666667  399.13888889]
4 [ 317.68181818  170.27272727]
5 [ 574.98122066  500.68075117]
6 [ 483.38888889  548.77777778]
7 [ 358.88709677  557.58602151]
8 [ 163.67724868  635.1005291 ]
9 [ 272.84408602  360.29032258]
10 [ 597.74074074  327.57407407]
11 [ 317.07407407   82.68518519]
12 [ 169.42792793  134.59459459]
13 [ 222.17676768  602.00505051]
14 [  93.42424242  194.03030303]
0 [ 498.125   691.9375]
1 [ 438.32624113  677.24822695]
2 [ 548.1827957   303.02688172]
3 [ 150.81278539  387.66210046]
4 [ 311.44131455  157.37089202]
5 [ 577.33333333  489.87064677]
6 [ 472.65517241  541.63793103]
7 [ 347.18181818  559.32323232]
8 [ 172.625  641.425]
9 [ 259.94527363  375.77114428]
10 [ 582.  325.]
11 [ 302.02962963   86.58518519]
12 [ 160.58649789  138.85232068]
13 [ 219.67661692  590.1840796 ]
14 [  84.39473684  201.65789474]
0 [ 514.83333333  695.08333333]
1 [ 430.89542484  665.9869281 ]
2 [ 560.79310345  311.94827586]
3 [ 145.28378378  374.97297297]
4 [ 306.86147186  144.08225108]
5 [ 582.92424242  476.22727273]
6 [ 454.4180791   533.04519774]
7 [ 333.61375661  559.73544974]
8 [ 184.49726776  646.92349727]
9 [ 247.18222222  390.91111111]
10 [ 571.1420765  321.4863388]
11 [ 286.0952381    88.47619048]
12 [ 157.59111111  141.58222222]
13 [ 219.4591195  574.3081761]
14 [  71.55882353  210.97058824]
0 [ 530.          689.59090909]
1 [ 423.53846154  653.26923077]
2 [ 570.87134503  309.67836257]
3 [ 142.44600939  364.62910798]
4 [ 304.7965368   140.33333333]
5 [ 592.52444444  463.80888889]
6 [ 443.3125  522.8125]
7 [ 322.89617486  564.17486339]
8 [ 193.59375  658.6875 ]
9 [ 235.76388889  400.44444444]
10 [ 561.30065359  325.67973856]
11 [ 274.10344828   97.93103448]
12 [ 147.20512821  158.63461538]
13 [ 225.77987421  560.87421384]
14 [  65.41891892  221.78378378]
0 [ 537.82716049  684.75308642]
1 [ 421.24113475  639.86524823]
2 [ 589.11695906  311.99415205]
3 [ 137.14414414  354.94594595]
4 [ 304.63020833  140.375     ]
5 [ 600.46052632  453.53070175]
6 [ 439.89071038  502.51912568]
7 [ 310.77777778  566.62573099]
8 [ 200.77604167  671.609375  ]
9 [ 222.91324201  403.03652968]
10 [ 548.33333333  323.53551913]
11 [ 254.53900709  103.12056738]
12 [ 147.27333333  158.62      ]
13 [ 230.89308176  547.4591195 ]
14 [  55.7037037   232.03703704]
0 [ 525.62601626  674.32520325]
1 [ 422.54421769  626.66666667]
2 [ 602.64102564  321.53846154]
3 [ 134.17840376  340.97652582]
4 [ 305.36111111  143.28472222]
5 [ 603.   444.5]
6 [ 433.62903226  479.96774194]
